7/3/2017 0:00	PU Load	PU Irradiance
0	0.386455785	0
1	0.35306969	0
2	0.331026162	0
3	0.30769857	0
4	0.305344452	0
5	0.311122953	0
6	0.342154931	0.039728836
7	0.435946389	0.323117088
8	0.489666766	0.496461019
9	0.534959927	0.603257732
10	0.558308136	0.579470633
11	0.579659692	0.58288719
12	0.643062563	0.265385563
13	0.611273703	0.373999119
14	0.64816703	0.373562453
15	0.579694179	0.435953241
16	0.56936906	0.241980526
17	0.534896062	0.128123133
18	0.526366773	0.069966345
19	0.521782301	0.01113328
20	0.502521358	0
21	0.511800972	0
22	0.405864397	0
23	0.369267928	0
24	0.34401424	0
25	0.306133707	0
26	0.277455847	0
27	0.265685046	0
28	0.261618842	0
29	0.253963002	0.012080485
30	0.282678594	0.122087387
31	0.359362699	0.277760424
32	0.418584952	0.505667286
33	0.466612477	0.664680115
34	0.498067396	0.792307804
35	0.53948174	0.8055894
36	0.496369064	0.517083058
37	0.524646704	0.299250172
38	0.449078631	0.203496323
39	0.444221113	0.136902531
40	0.531444827	0.096898591
41	0.437729435	0.076421251
42	0.483664669	0.028401233
43	0.465428244	0.00247706
44	0.44794209	0
45	0.443102685	0
46	0.402011992	0
47	0.364559693	0
48	0.321542691	5.94211E-05
49	0.292222799	0
50	0.280023976	7.33931E-05
51	0.262688896	8.09413E-05
52	0.259050714	0
53	0.268200214	0
54	0.320024221	0.019114828
55	0.400040854	0.032589944
56	0.459820195	0.062553152
57	0.499802114	0.099590048
58	0.528599185	0.111632151
59	0.549819201	0.192705759
60	0.549853585	0.163088961
61	0.535806453	0.150957726
62	0.540420641	0.13394705
63	0.539600455	0.096953515
64	0.528182915	0.06175193
65	0.519073035	0.02579152
66	0.5397663	0.01112252
67	0.529250131	0.00027671
68	0.509782094	0
69	0.506022683	0
70	0.46214985	0
71	0.399657874	0
72	0.343586218	4.89824E-05
73	0.316192423	2.08776E-05
74	0.300569429	0
75	0.27531574	0
76	0.271035526	0
77	0.280482178	0
78	0.314892411	0
79	0.412603557	0
80	0.475635023	0
81	0.425626695	0
82	0.539765454	0
83	0.523128691	0.077245599
84	0.541303966	0.169112019
85	0.542570778	0.206439437
86	0.532032448	0.136099703
87	0.520853484	0.091823219
88	0.491499752	0.038312364
89	0.502694058	0.032936675
90	0.484037051	0.013051459
91	0.477196449	0.002563301
92	0.484897175	0
93	0.492539796	0
94	0.45358921	0
95	0.397945788	0
96	0.359209213	0
97	0.321542691	0
98	0.299071354	0
99	0.278953922	0
100	0.27210558	0
101	0.292496372	0.00182953
102	0.316553269	0.060670143
103	0.372190153	0.150996912
104	0.40462113	0.258458178
105	0.410435975	0.372673866
106	0.416125886	0.705950048
107	0.443914347	0.714085128
108	0.42592697	0.974354688
109	0.423217662	0.915543946
110	0.432229156	0.837498088
111	0.42686304	0.702620695
112	0.449458492	0.502416948
113	0.43116692	0.246971744
114	0.408764175	0.06046779
115	0.425471314	0.01823411
116	0.421367762	0
117	0.424483541	0
118	0.389385147	0
119	0.35856718	0
120	0.332885471	0
121	0.299499375	0
122	0.282592317	0
123	0.276599804	0
124	0.270393494	0
125	0.268667784	0.008803167
126	0.285671073	0.101071723
127	0.333256513	0.337717995
128	0.406119732	0.561965316
129	0.463184719	0.676352521
130	0.510755996	0.736723792
131	0.527046731	0.854140996
132	0.578139495	0.929701603
133	0.563266063	0.88164786
134	0.601074993	0.665726249
135	0.533180047	0.461310504
136	0.476649737	0.242506002
137	0.487332815	0.154210313
138	0.468984357	0.073862286
139	0.454620087	0.02763197
140	0.439281981	0
141	0.439892524	0
142	0.412498729	0
143	0.368197875	0
144	0.330745363	0
145	0.303351568	0
146	0.279595954	0
147	0.270393494	0
148	0.263330928	0
149	0.254772084	0.002530057
150	0.274433892	0.093351628
151	0.353816131	0.34839068
152	0.417116046	0.540907897
153	0.467902054	0.761071859
154	0.480845416	0.689770304
155	0.491921105	0.782396994
156	0.534245844	0.757967825
157	0.542111356	0.848372484
158	0.507340004	0.409064035
159	0.501251975	0.504643636
160	0.489497333	0.365242204
161	0.465278874	0.214652889
162	0.455447498	0.068595322
163	0.475050823	0.018008952
164	0.465588491	0
165	0.456157338	0
166	0.424055519	0
167	0.36969595	0
168	0.326251139	0
169	0.301425471	0
170	0.282164295	0
171	0.265899057	0
172	0.273603655	0
173	0.273913087	0.010781892
174	0.317700382	0.096142496
175	0.41198988	0.305707327
176	0.47863365	0.185175972
177	0.5200223	0
178	0.550317811	0
179	0.566352127	0
180	0.642872207	0
181	0.580274223	0
182	0.631054843	0
183	0.543111078	0
184	0.563286896	0
185	0.559629836	0
186	0.543303181	0
187	0.544155997	0
188	0.530526063	0
189	0.524855838	0
190	0.486333485	0
191	0.428763755	0
192	0.38403488	0
193	0.35236087	0
194	0.332029428	0
195	0.32132868	0
196	0.308702048	0
197	0.326921322	0
198	0.35903695	0
199	0.410216274	0
200	0.433207884	0.495235337
201	0.45702035	0.548777509
202	0.507659094	0.566937102
203	0.555799321	0.626655703
204	0.629497012	0.578980489
205	0.648457735	0.755985728
206	0.637295585	0.767400375
207	0.501640201	0.663016965
208	0.579778446	0.470547124
209	0.558864958	0.043884143
210	0.556832011	0
211	0.570321076	0
212	0.56659602	0
213	0.554603751	0
214	0.517793484	0
215	0.442032631	0
216	0.405436375	0
217	0.363489639	0
218	0.346796379	0
219	0.324325042	0
220	0.318760551	0
221	0.329965597	0
222	0.36832679	0
223	0.421207564	0
224	0.494481481	0
225	0.514696474	0
226	0.565626778	0
227	0.568606567	0
228	0.467576917	0
229	0.500311181	0
230	0.491108509	0
231	0.526634711	0
232	0.523424551	0
233	0.55210241	0
234	0.572219842	0
235	0.503307331	0
236	0.536265405	0
237	0.528775031	0
238	0.499026905	0
239	0.431612894	0
240	0.393518351	0
241	0.358419931	0
242	0.347077177	0
243	0.33873076	0
244	0.317971296	0
245	0.323963808	0
246	0.367836641	0
247	0.40798497	0
248	0.431283962	0
249	0.459002366	0.295625481
250	0.488349729	0.761413129
251	0.480425363	0.832683689
252	0.474846546	0.842553224
253	0.44452673	0.714074528
254	0.432693548	0.126314481
255	0.404186721	0
256	0.412204957	0
257	0.433755131	0
258	0.425154182	0
259	0.417287582	0
260	0.410381808	0
261	0.406506429	0
262	0.360707288	0
263	0.32368301	0
264	0.293720874	0
265	0.275101729	0
266	0.256910607	0
267	0.251346116	0
268	0.253700446	0
269	0.260582148	0
270	0.291898753	0
271	0.345971381	0
272	0.35674714	0
273	0.380848055	0
274	0.411868326	0
275	0.403371893	0
276	0.441502434	0
277	0.406654272	0.212364692
278	0.414283804	0.793992474
279	0.389972012	0.660338354
280	0.368951806	0.460474593
281	0.40238565	0.249712827
282	0.39197296	0.080828054
283	0.376354209	0.024313378
284	0.381578264	0.001625249
285	0.380396698	0
286	0.372264078	0
287	0.335239588	0
288	0.302067504	0
289	0.281950285	0
290	0.267825365	0
291	0.261190821	0
292	0.25263018	0
293	0.25922996	0.009382603
294	0.276526883	0.101254484
295	0.295511607	0.322621965
296	0.348503433	0.53465422
297	0.363169478	0.641956655
298	0.40593044	0.831529954
299	0.432662978	0.909213343
300	0.457233602	0.909604077
301	0.44512667	0.770704031
302	0.436235644	0.763061986
303	0.463515894	0.697562669
304	0.42589358	0.472588161
305	0.457227805	0.245740281
306	0.446791273	0.076554708
307	0.459142597	0.019118201
308	0.460053633	0.000182439
309	0.460223754	0
310	0.431331884	0
311	0.384676912	0
312	0.348508465	0
313	0.317048466	0
314	0.300355444	0
315	0.280451997	0
316	0.27210558	0
317	0.274346944	0.00458876
318	0.279157333	0.079351036
319	0.341940753	0.183815387
320	0.397465477	0.244123864
321	0.448928134	0.375674956
322	0.479789859	0.446770303
323	0.533754639	0.430734295
324	0.519602496	0.493843597
325	0.511982146	0.221737659
326	0.632926559	0.183040343
327	0.502894446	0.074984543
328	0.486633464	0.060104518
329	0.535869824	0.054170912
330	0.550933347	0.021327223
331	0.548882419	0.002941027
332	0.537264018	0
333	0.548825462	0
334	0.496605999	0
335	0.444172738	0
336	0.39537766	0
337	0.35535702	0
338	0.332885471	0
339	0.316834455	0
340	0.307845793	0
341	0.325539809	0.002467906
342	0.362047274	0.044564596
343	0.434411379	0.067113325
344	0.50521668	0.120115567
345	0.540380464	0.201493347
346	0.58400746	0.267414074
347	0.620476234	0.265687005
348	0.524355873	0.311353944
349	0.693350323	0.344662564
350	0.69775291	0.254599657
351	0.677487545	0.246044935
352	0.683613205	0.128626286
353	0.659607358	0.105368517
354	0.690708383	0.139143191
355	0.684338064	0.028479605
356	0.660063785	0
357	0.665891231	0
358	0.604897117	0
359	0.518221506	0
360	0.457869424	0
361	0.419561321	0
362	0.392167499	0
363	0.372264078	0
364	0.364987714	0
365	0.383493328	0.004084322
366	0.440922988	0.035725777
367	0.505981122	0.071608457
368	0.537311737	0.267405401
369	0.573848736	0.375920671
370	0.644335509	0.67987973
371	0.655886008	0.563352238
372	0.678479893	0.792012946
373	0.728690651	0.515644583
374	0.663342411	0.388635517
375	0.650827323	0.253027726
376	0.670931645	0.372006582
377	0.67055934	0.253511928
378	0.67468044	0.087699068
379	0.687115472	0.034113857
380	0.662548852	0.000131851
381	0.64277765	0
382	0.597192732	0
383	0.534486532	0
384	0.480126962	0
385	0.445884824	0
386	0.425553594	0
387	0.403938088	0
388	0.39537766	0
389	0.405231533	0.000610272
390	0.433782801	0.022572338
391	0.517235022	0.081485541
392	0.600969973	0.129778093
393	0.664235659	0.135087455
394	0.74741244	0.21634045
395	0.720897678	0.356416393
396	0.78969915	0.659910201
397	0.795459101	0.809815369
398	0.77962451	0.175252796
399	0.772234722	0
400	0.800928452	0
401	0.766278939	0.023186463
402	0.772367648	0.076021844
403	0.756211815	0.00736678
404	0.722257087	0
405	0.710406096	0
406	0.656046526	0
407	0.560810274	0
408	0.488259582	0
409	0.442246642	0
410	0.410786643	0
411	0.398801831	0
412	0.386388997	0
413	0.381227401	0.000180191
414	0.427779613	0.022869443
415	0.561819741	0.09089127
416	0.641763867	0.400463382
417	0.740576258	0.640565397
418	0.815906223	0.793520477
419	0.77845606	0.838875696
420	0.809048643	0.760098958
421	0.589340911	0.821171077
