Inverter mRID,IPAddress,Port,MasterDNP3Addr,LocalDNP3Addr,Inverter Rating (watts),Nominal Voltage (V),PhaseType,Circuit Phase,P - Identifier,Q - Identifier,Va - Identifier,Vb - Identifier,Vc - Identifier,F - Identifier
100145388_PV,127.0.0.1,20000,101,100,8580,240,SINGLE_PHASE,A,P1,Q1,100145388_pv_1,,,
103092389_PV,127.0.0.1,20001,101,100,3270,240,SINGLE_PHASE,A,P2,Q2,103092389_pv_1,,,
103492388_PV,127.0.0.1,20002,101,100,3210,240,SINGLE_PHASE,A,P3,Q3,103492388_pv_1,,,
104492381_PV,127.0.0.1,20003,101,100,3270,240,SINGLE_PHASE,A,P4,Q4,104492381_pv_1,,,
104497284_PV,127.0.0.1,20004,101,100,5925,240,SINGLE_PHASE,A,P5,Q5,104497284_pv_1,,,
105858287_PV,127.0.0.1,20005,101,100,3825,240,SINGLE_PHASE,A,P6,Q6,105858287_pv_1,,,
108760381_PV,127.0.0.1,20006,101,100,3330,240,SINGLE_PHASE,A,P7,Q7,108760381_pv_1,,,
109008283_PV,127.0.0.1,20007,101,100,7950,240,SINGLE_PHASE,A,P8,Q8,109008283_pv_1,,,
109269283_PV,127.0.0.1,20008,101,100,5340,240,SINGLE_PHASE,A,P9,Q9,109269283_pv_1,,,
111708284_PV,127.0.0.1,20009,101,100,13620,240,SINGLE_PHASE,A,P10,Q10,111708284_pv_1,,,
112660384_PV,127.0.0.1,20010,101,100,2145,240,SINGLE_PHASE,A,P11,Q11,112660384_pv_1,,,
112782382_PV,127.0.0.1,20011,101,100,3240,240,SINGLE_PHASE,A,P12,Q12,112782382_pv_1,,,
113924387_PV,127.0.0.1,20012,101,100,2460,240,SINGLE_PHASE,A,P13,Q13,113924387_pv_1,,,
114141386_PV,127.0.0.1,20013,101,100,3330,240,SINGLE_PHASE,A,P14,Q14,114141386_pv_1,,,
115908285_PV,127.0.0.1,20014,101,100,6990,240,SINGLE_PHASE,A,P15,Q15,115908285_pv_1,,,
116949283_PV,127.0.0.1,20015,101,100,6960,240,SINGLE_PHASE,A,P16,Q16,116949283_pv_1,,,
117018288_PV,127.0.0.1,20016,101,100,7260,240,SINGLE_PHASE,A,P17,Q17,117018288_pv_1,,,
117859288_PV,127.0.0.1,20017,101,100,10635,240,SINGLE_PHASE,A,P18,Q18,117859288_pv_1,,,
