timestamp (UTC),history (kW),forecast(kW),clear sky(kW)
2018-10-01T06:00:00.000Z,,,0.0
2018-10-01T06:05:00.000Z,,,0.0
2018-10-01T06:10:00.000Z,,,0.0
2018-10-01T06:15:00.000Z,,,0.0
2018-10-01T06:20:00.000Z,,,0.0
2018-10-01T06:25:00.000Z,,,0.0
2018-10-01T06:30:00.000Z,,,0.0
2018-10-01T06:35:00.000Z,,,0.0
2018-10-01T06:40:00.000Z,,,0.0
2018-10-01T06:45:00.000Z,,,0.0
2018-10-01T06:50:00.000Z,,,0.0
2018-10-01T06:55:00.000Z,,,0.0
2018-10-01T07:00:00.000Z,,,0.0
2018-10-01T07:05:00.000Z,,,0.0
2018-10-01T07:10:00.000Z,,,0.0
2018-10-01T07:15:00.000Z,,,0.0
2018-10-01T07:20:00.000Z,,,0.0
2018-10-01T07:25:00.000Z,,,0.0
2018-10-01T07:30:00.000Z,,,0.0
2018-10-01T07:35:00.000Z,,,0.0
2018-10-01T07:40:00.000Z,,,0.0
2018-10-01T07:45:00.000Z,,,0.0
2018-10-01T07:50:00.000Z,,,0.0
2018-10-01T07:55:00.000Z,,,0.0
2018-10-01T08:00:00.000Z,,,0.0
2018-10-01T08:05:00.000Z,,,0.0
2018-10-01T08:10:00.000Z,,,0.0
2018-10-01T08:15:00.000Z,,,0.0
2018-10-01T08:20:00.000Z,,,0.0
2018-10-01T08:25:00.000Z,,,0.0
2018-10-01T08:30:00.000Z,,,0.0
2018-10-01T08:35:00.000Z,,,0.0
2018-10-01T08:40:00.000Z,,,0.0
2018-10-01T08:45:00.000Z,,,0.0
2018-10-01T08:50:00.000Z,,,0.0
2018-10-01T08:55:00.000Z,,,0.0
2018-10-01T09:00:00.000Z,,,0.0
2018-10-01T09:05:00.000Z,,,0.0
2018-10-01T09:10:00.000Z,,,0.0
2018-10-01T09:15:00.000Z,,,0.0
2018-10-01T09:20:00.000Z,,,0.0
2018-10-01T09:25:00.000Z,,,0.0
2018-10-01T09:30:00.000Z,,,0.0
2018-10-01T09:35:00.000Z,,,0.0
2018-10-01T09:40:00.000Z,,,0.0
2018-10-01T09:45:00.000Z,,,0.0
2018-10-01T09:50:00.000Z,,,0.0
2018-10-01T09:55:00.000Z,,,0.0
2018-10-01T10:00:00.000Z,,,0.0
2018-10-01T10:05:00.000Z,,,0.0
2018-10-01T10:10:00.000Z,,,0.0
2018-10-01T10:15:00.000Z,,,0.0
2018-10-01T10:20:00.000Z,,,0.0
2018-10-01T10:25:00.000Z,,,0.0
2018-10-01T10:30:00.000Z,,,0.0
2018-10-01T10:35:00.000Z,,,0.0
2018-10-01T10:40:00.000Z,,,0.0
2018-10-01T10:45:00.000Z,,,0.0
2018-10-01T10:50:00.000Z,,,0.0
2018-10-01T10:55:00.000Z,,,0.0
